STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 01:55,CRN05,,,,63,17.2,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:00,CRN05,,,,63,17.2,,,,,,3,,,,,,,0.00,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:05,CRN05,,,,63,17.3,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:10,CRN05,,,,63,17.3,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:15,CRN05,,,,63,17.4,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:20,CRN05,,,,63,17.4,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:25,CRN05,,,,63,17.5,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:30,CRN05,,,,64,17.6,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:35,CRN05,,,,63,17.5,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:40,CRN05,,,,63,17.4,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:45,CRN05,,,,63,17.2,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:50,CRN05,,,,63,17.3,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 02:55,CRN05,,,,63,17.3,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:00,CRN05,,,,63,17.2,,,,,,5,,,,,,,0.00,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:05,CRN05,,,,63,17.2,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:10,CRN05,,,,63,17.3,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:15,CRN05,,,,63,17.3,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:20,CRN05,,,,63,17.1,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:25,CRN05,,,,63,17.0,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:30,CRN05,,,,63,17.0,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:35,CRN05,,,,63,17.1,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:40,CRN05,,,,62,16.9,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:45,CRN05,,,,62,16.8,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:50,CRN05,,,,62,16.7,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 03:55,CRN05,,,,62,16.8,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 04:00,CRN05,,,,62,16.9,,,,,,5,,,,,,,0.00,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 04:05,CRN05,,,,62,16.9,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:53138,BAKER 5 W NV US,2016.9,39.0118,-114.209,2017-06-19 04:10,CRN05,,,,62,16.6,,,,,,,,,,,,,,,,,,,,,,,,0411,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
